Year,gfdl.cm3.1.rcp85,gfdl.cm3.1.rcp60,gfdl.cm3.1.rcp45,gfdl.cm3.1.rcp26,gfdl.esm2m.1.rcp85,gfdl.esm2m.1.rcp26,gfdl.esm2m.1.rcp45,gfdl.esm2m.1.rcp60,csiro.mk3.6.0.1.rcp85,csiro.mk3.6.0.1.rcp26,csiro.mk3.6.0.1.rcp45,csiro.mk3.6.0.1.rcp60,hadgem2.es.1.rcp85,hadgem2.es.1.rcp60,hadgem2.es.1.rcp45,hadgem2.es.1.rcp26,miroc.esm.chem.1.rcp85,miroc.esm.chem.1.rcp60,miroc.esm.chem.1.rcp45,miroc.esm.chem.1.rcp26,miroc5.1.rcp85,miroc5.1.rcp60,miroc5.1.rcp45,miroc5.1.rcp26
2010,142.709513032428,146.210309252175,143.186532605869,142.348789859524,132.353690093846,140.753419776084,142.297574713374,145.248674582938,142.641538550808,141.963287374829,144.035337674333,141.015635026182,138.052272237274,142.19740633593,144.769643112313,144.661333376376,145.408423939241,139.233744673936,144.48107504227,141.58231456183,144.653867730301,137.701609047794,136.249895947899,142.344673272629
2011,139.850909057521,133.027608660074,138.241217128286,131.351354406895,136.001248541135,135.596118606669,135.956340364847,135.484127644877,135.998029613561,135.953777141509,134.665425951479,134.841232923454,134.432294500543,133.321860909401,134.301437439136,138.49903942755,137.367301068677,138.053018492321,137.285487640747,131.526867337143,134.982841280341,137.643585090373,135.824268995902,130.980764174124
2012,139.092534217695,131.989420825862,135.87296535573,135.074011398979,134.809715253938,138.382494241124,135.436802824481,132.608853178186,134.709225735744,131.515860026346,133.946537578082,134.504277196365,140.223154801267,135.107429629729,139.467668935298,138.028109522538,136.685835710178,130.798100642804,140.673261873447,138.414768481381,135.437659970835,136.781669056969,137.833061375903,138.270125503173
2013,136.949058019352,137.778139126892,134.351882800758,144.290929969845,134.666530866922,137.305178833419,133.3117473421,138.257268828684,133.33938648071,131.901875049587,136.233127518547,134.979564402999,140.998933062491,134.371186277731,132.917655350116,138.450443488725,142.898761497581,141.072786602335,137.029922639687,140.859841254935,133.652277982453,133.216150898291,136.143626986997,133.16769101787
2014,144.722301689874,141.171642515428,133.610228728067,134.11887660144,129.712085782196,129.396649997123,130.043058488472,134.644021818199,136.013125770651,135.844364227856,137.075049882477,132.839203795194,140.2214300169,135.851758880308,136.106083528926,138.366253067958,134.666697187416,132.747171546056,136.924751309856,140.285775599242,137.604310045175,139.290132826059,137.028538085991,136.865183169487
2015,138.429504709893,131.327093635792,140.255836911872,132.525944722696,134.323451148503,133.058837694172,134.800834877681,135.020178521021,135.564060958728,136.853295359413,137.216236531425,141.286207544593,130.89161925058,140.291849197801,137.11438363513,140.835547858951,134.307555171031,136.954897086927,134.932231450786,139.20495869471,140.464866184139,134.658773376261,135.370869850713,136.926628921429
2016,136.488948842747,142.024578145205,142.443984716716,137.658757214124,139.847159989723,141.331179269106,136.154313268011,137.721043933898,139.937103980535,137.21487392963,133.233961845603,136.451508635968,134.444004575697,144.078402583649,134.144239157885,139.697472998752,137.681800921613,137.355592564055,139.392212134874,138.80806517623,137.343148860861,137.734571009585,136.040908665085,133.961508608508
2017,134.562562760864,141.485086826499,142.339139238885,138.842776511748,134.808049576352,139.223134149646,131.185794041566,134.518053921396,134.538614473714,134.930316264697,137.266190948334,131.856542377727,135.449743498845,135.161958808522,135.360687880778,136.889711202506,136.940583671703,129.601837767138,141.552529056351,136.852118859929,133.397614627877,135.021856169575,139.765172935193,137.100772227777
2018,142.132790874453,138.753230928522,135.760341552357,140.264911770904,136.637253194853,137.694669312729,137.231106955663,135.777361206562,137.469913624137,137.984181472723,133.312904705282,135.911756354137,138.677296355215,136.771283381428,135.750204027451,139.757104906336,134.154512220219,134.134876014901,136.288510344345,140.113815459576,136.420866035593,139.564635893162,137.148145311339,136.850278108132
2019,135.129321352726,137.816082963671,143.226120126292,136.321849804073,139.518887473131,142.800780640348,139.659334725442,133.226828275401,137.55112674829,139.924618351129,138.844427992132,134.455389819308,139.25077156852,137.887395617917,138.108648558706,140.399389198057,138.772692660797,134.506513483149,139.721406561181,138.416645134695,132.09583157588,137.81120675971,137.408557400599,136.11386291646
